Sample Name, Sample-92
Time, February 06 14:27:00 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, -0.0015, 100.34
301.0, -0.0013, 100.31
302.0, -0.0012, 100.27
303.0, -0.0012, 100.27
304.0, -0.0010, 100.23
305.0, -0.0008, 100.19
306.0, -0.0006, 100.13
307.0, -0.0005, 100.11
308.0, -0.0004, 100.09
309.0, -0.0001, 100.03
310.0, -0.0000, 100.00
311.0, 0.0002, 99.96
312.0, 0.0003, 99.93
313.0, 0.0007, 99.85
314.0, 0.0008, 99.82
315.0, 0.0010, 99.78
316.0, 0.0010, 99.77
317.0, 0.0012, 99.71
318.0, 0.0015, 99.65
319.0, 0.0018, 99.59
320.0, 0.0019, 99.57
321.0, 0.0023, 99.47
322.0, 0.0026, 99.40
323.0, 0.0027, 99.38
324.0, 0.0031, 99.28
325.0, 0.0032, 99.26
326.0, 0.0033, 99.25
327.0, 0.0034, 99.22
328.0, 0.0037, 99.16
329.0, 0.0038, 99.13
330.0, 0.0038, 99.13
331.0, 0.0041, 99.05
332.0, 0.0042, 99.03
333.0, 0.0045, 98.97
334.0, 0.0048, 98.90
335.0, 0.0049, 98.88
336.0, 0.0048, 98.90
337.0, 0.0054, 98.77
338.0, 0.0056, 98.73
339.0, 0.0059, 98.64
340.0, 0.0148, 96.65
341.0, 0.0142, 96.77
342.0, 0.0141, 96.80
343.0, 0.0139, 96.86
344.0, 0.0135, 96.95
345.0, 0.0131, 97.03
346.0, 0.0132, 97.01
347.0, 0.0131, 97.04
348.0, 0.0128, 97.09
349.0, 0.0125, 97.17
350.0, 0.0122, 97.23
351.0, 0.0122, 97.23
352.0, 0.0122, 97.24
353.0, 0.0122, 97.23
354.0, 0.0119, 97.30
355.0, 0.0114, 97.41
356.0, 0.0116, 97.37
357.0, 0.0115, 97.40
358.0, 0.0113, 97.43
359.0, 0.0112, 97.46
360.0, 0.0112, 97.45
361.0, 0.0111, 97.47
362.0, 0.0112, 97.45
363.0, 0.0115, 97.38
364.0, 0.0115, 97.39
365.0, 0.0117, 97.35
366.0, 0.0119, 97.29
367.0, 0.0125, 97.15
368.0, 0.0130, 97.06
369.0, 0.0133, 96.98
370.0, 0.0140, 96.82
371.0, 0.0080, 98.18
372.0, 0.0077, 98.25
373.0, 0.0074, 98.32
374.0, 0.0071, 98.38
375.0, 0.0070, 98.41
376.0, 0.0067, 98.46
377.0, 0.0066, 98.50
378.0, 0.0061, 98.60
379.0, 0.0060, 98.64
380.0, 0.0056, 98.71
381.0, 0.0052, 98.80
382.0, 0.0052, 98.82
383.0, 0.0049, 98.87
384.0, 0.0048, 98.91
385.0, 0.0045, 98.96
386.0, 0.0045, 98.96
387.0, 0.0043, 99.01
388.0, 0.0042, 99.03
389.0, 0.0041, 99.05
390.0, 0.0039, 99.10
391.0, 0.0037, 99.15
392.0, 0.0036, 99.17
393.0, 0.0034, 99.22
394.0, 0.0034, 99.22
395.0, 0.0033, 99.25
396.0, 0.0034, 99.21
397.0, 0.0032, 99.27
398.0, 0.0030, 99.32
399.0, 0.0030, 99.31
400.0, 0.0028, 99.36
401.0, 0.0026, 99.41
402.0, 0.0025, 99.42
403.0, 0.0024, 99.45
404.0, 0.0023, 99.47
405.0, 0.0023, 99.46
406.0, 0.0021, 99.53
407.0, 0.0021, 99.52
408.0, 0.0022, 99.49
409.0, 0.0023, 99.48
410.0, 0.0019, 99.56
411.0, 0.0020, 99.55
412.0, 0.0020, 99.55
413.0, 0.0018, 99.58
414.0, 0.0019, 99.57
415.0, 0.0019, 99.56
416.0, 0.0019, 99.57
417.0, 0.0017, 99.60
418.0, 0.0018, 99.59
419.0, 0.0017, 99.62
420.0, 0.0019, 99.56
421.0, 0.0018, 99.60
422.0, 0.0018, 99.58
423.0, 0.0019, 99.57
424.0, 0.0019, 99.57
425.0, 0.0019, 99.56
426.0, 0.0019, 99.56
427.0, 0.0019, 99.57
428.0, 0.0020, 99.54
429.0, 0.0021, 99.52
430.0, 0.0022, 99.48
431.0, 0.0023, 99.47
432.0, 0.0024, 99.46
433.0, 0.0024, 99.44
434.0, 0.0024, 99.45
435.0, 0.0025, 99.43
436.0, 0.0026, 99.41
437.0, 0.0026, 99.39
438.0, 0.0027, 99.37
439.0, 0.0027, 99.38
440.0, 0.0029, 99.34
441.0, 0.0031, 99.30
442.0, 0.0032, 99.26
443.0, 0.0034, 99.23
444.0, 0.0035, 99.19
445.0, 0.0035, 99.19
446.0, 0.0037, 99.16
447.0, 0.0039, 99.11
448.0, 0.0042, 99.04
449.0, 0.0045, 98.98
450.0, 0.0045, 98.96
