Sample Name, Sample-91
Time, February 06 12:12:05 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, -0.0003, 100.07
301.0, -0.0001, 100.02
302.0, -0.0001, 100.03
303.0, -0.0000, 100.00
304.0, 0.0000, 99.99
305.0, 0.0003, 99.94
306.0, 0.0004, 99.91
307.0, 0.0006, 99.85
308.0, 0.0007, 99.85
309.0, 0.0007, 99.84
310.0, 0.0008, 99.81
311.0, 0.0008, 99.81
312.0, 0.0010, 99.76
313.0, 0.0011, 99.74
314.0, 0.0013, 99.69
315.0, 0.0015, 99.64
316.0, 0.0016, 99.64
317.0, 0.0017, 99.60
318.0, 0.0019, 99.55
319.0, 0.0022, 99.49
320.0, 0.0022, 99.49
321.0, 0.0026, 99.41
322.0, 0.0029, 99.33
323.0, 0.0030, 99.31
324.0, 0.0031, 99.29
325.0, 0.0032, 99.26
326.0, 0.0035, 99.20
327.0, 0.0035, 99.20
328.0, 0.0038, 99.14
329.0, 0.0039, 99.11
330.0, 0.0041, 99.07
331.0, 0.0045, 98.98
332.0, 0.0045, 98.98
333.0, 0.0047, 98.93
334.0, 0.0050, 98.86
335.0, 0.0052, 98.82
336.0, 0.0052, 98.80
337.0, 0.0054, 98.76
338.0, 0.0057, 98.69
339.0, 0.0058, 98.68
340.0, 0.0150, 96.60
341.0, 0.0145, 96.72
342.0, 0.0144, 96.74
343.0, 0.0142, 96.79
344.0, 0.0140, 96.83
345.0, 0.0135, 96.94
346.0, 0.0136, 96.92
347.0, 0.0134, 96.95
348.0, 0.0128, 97.10
349.0, 0.0125, 97.16
350.0, 0.0121, 97.24
351.0, 0.0123, 97.22
352.0, 0.0123, 97.22
353.0, 0.0120, 97.28
354.0, 0.0119, 97.30
355.0, 0.0114, 97.40
356.0, 0.0115, 97.40
357.0, 0.0114, 97.42
358.0, 0.0112, 97.45
359.0, 0.0111, 97.47
360.0, 0.0109, 97.51
361.0, 0.0110, 97.49
362.0, 0.0115, 97.40
363.0, 0.0118, 97.32
364.0, 0.0117, 97.35
365.0, 0.0120, 97.28
366.0, 0.0125, 97.16
367.0, 0.0129, 97.07
368.0, 0.0134, 96.97
369.0, 0.0138, 96.87
370.0, 0.0145, 96.72
371.0, 0.0080, 98.17
372.0, 0.0077, 98.25
373.0, 0.0074, 98.30
374.0, 0.0076, 98.26
375.0, 0.0071, 98.38
376.0, 0.0069, 98.41
377.0, 0.0069, 98.43
378.0, 0.0064, 98.53
379.0, 0.0062, 98.58
380.0, 0.0060, 98.62
381.0, 0.0057, 98.69
382.0, 0.0057, 98.71
383.0, 0.0053, 98.78
384.0, 0.0054, 98.77
385.0, 0.0050, 98.86
386.0, 0.0050, 98.85
387.0, 0.0048, 98.91
388.0, 0.0047, 98.93
389.0, 0.0045, 98.98
390.0, 0.0043, 99.02
391.0, 0.0041, 99.07
392.0, 0.0040, 99.07
393.0, 0.0040, 99.09
394.0, 0.0039, 99.11
395.0, 0.0038, 99.12
396.0, 0.0038, 99.13
397.0, 0.0035, 99.19
398.0, 0.0034, 99.22
399.0, 0.0033, 99.24
400.0, 0.0031, 99.29
401.0, 0.0029, 99.34
402.0, 0.0028, 99.35
403.0, 0.0028, 99.35
404.0, 0.0028, 99.36
405.0, 0.0029, 99.34
406.0, 0.0026, 99.41
407.0, 0.0026, 99.40
408.0, 0.0027, 99.38
409.0, 0.0026, 99.40
410.0, 0.0025, 99.43
411.0, 0.0024, 99.45
412.0, 0.0022, 99.49
413.0, 0.0022, 99.50
414.0, 0.0022, 99.49
415.0, 0.0023, 99.48
416.0, 0.0023, 99.48
417.0, 0.0023, 99.48
418.0, 0.0022, 99.48
419.0, 0.0022, 99.50
420.0, 0.0024, 99.45
421.0, 0.0022, 99.49
422.0, 0.0022, 99.50
423.0, 0.0021, 99.52
424.0, 0.0023, 99.48
425.0, 0.0023, 99.46
426.0, 0.0023, 99.47
427.0, 0.0023, 99.48
428.0, 0.0023, 99.47
429.0, 0.0024, 99.45
430.0, 0.0025, 99.42
431.0, 0.0026, 99.40
432.0, 0.0026, 99.39
433.0, 0.0028, 99.37
434.0, 0.0027, 99.38
435.0, 0.0028, 99.36
436.0, 0.0028, 99.36
437.0, 0.0028, 99.35
438.0, 0.0029, 99.34
439.0, 0.0030, 99.31
440.0, 0.0032, 99.26
441.0, 0.0033, 99.25
442.0, 0.0034, 99.23
443.0, 0.0034, 99.21
444.0, 0.0035, 99.19
445.0, 0.0035, 99.20
446.0, 0.0038, 99.12
447.0, 0.0040, 99.09
448.0, 0.0041, 99.06
449.0, 0.0044, 99.00
450.0, 0.0046, 98.96
