Sample Name, Sample-130
Time, February 06 15:22:05 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2301, 5.89
301.0, 1.2252, 5.95
302.0, 1.2193, 6.04
303.0, 1.2127, 6.13
304.0, 1.2053, 6.23
305.0, 1.1933, 6.41
306.0, 1.1751, 6.68
307.0, 1.1527, 7.04
308.0, 1.1295, 7.42
309.0, 1.1046, 7.86
310.0, 1.0793, 8.33
311.0, 1.0527, 8.86
312.0, 1.0291, 9.35
313.0, 1.0092, 9.79
314.0, 0.9909, 10.21
315.0, 0.9751, 10.59
316.0, 0.9617, 10.92
317.0, 0.9472, 11.29
318.0, 0.9321, 11.69
319.0, 0.9186, 12.06
320.0, 0.9057, 12.42
321.0, 0.8943, 12.76
322.0, 0.8828, 13.10
323.0, 0.8711, 13.45
324.0, 0.8601, 13.80
325.0, 0.8496, 14.14
326.0, 0.8389, 14.49
327.0, 0.8294, 14.81
328.0, 0.8193, 15.16
329.0, 0.8096, 15.50
330.0, 0.8038, 15.71
331.0, 0.7864, 16.35
332.0, 0.7747, 16.80
333.0, 0.7627, 17.27
334.0, 0.7516, 17.72
335.0, 0.7404, 18.18
336.0, 0.7293, 18.65
337.0, 0.7185, 19.12
338.0, 0.7079, 19.59
339.0, 0.6982, 20.03
340.0, 0.5422, 28.70
341.0, 0.5403, 28.82
342.0, 0.5392, 28.90
343.0, 0.5375, 29.01
344.0, 0.5363, 29.09
345.0, 0.5347, 29.19
346.0, 0.5344, 29.21
347.0, 0.5319, 29.39
348.0, 0.5305, 29.48
349.0, 0.5288, 29.60
350.0, 0.5269, 29.73
351.0, 0.5238, 29.94
352.0, 0.5205, 30.16
353.0, 0.5162, 30.47
354.0, 0.5114, 30.80
355.0, 0.5060, 31.19
356.0, 0.4996, 31.66
357.0, 0.4941, 32.06
358.0, 0.4874, 32.56
359.0, 0.4804, 33.08
360.0, 0.4731, 33.64
361.0, 0.4671, 34.11
362.0, 0.4611, 34.58
363.0, 0.4552, 35.06
364.0, 0.4486, 35.60
365.0, 0.4409, 36.23
366.0, 0.4321, 36.97
367.0, 0.4228, 37.77
368.0, 0.4131, 38.63
369.0, 0.4033, 39.51
370.0, 0.3976, 40.03
371.0, 0.4300, 37.15
372.0, 0.4252, 37.57
373.0, 0.4209, 37.94
374.0, 0.4168, 38.30
375.0, 0.4130, 38.63
376.0, 0.4089, 39.01
377.0, 0.4048, 39.37
378.0, 0.4007, 39.75
379.0, 0.3964, 40.15
380.0, 0.3917, 40.58
381.0, 0.3874, 40.98
382.0, 0.3836, 41.34
383.0, 0.3796, 41.72
384.0, 0.3773, 41.95
385.0, 0.3716, 42.50
386.0, 0.3677, 42.88
387.0, 0.3641, 43.24
388.0, 0.3606, 43.60
389.0, 0.3566, 43.99
390.0, 0.3522, 44.44
391.0, 0.3481, 44.86
392.0, 0.3444, 45.24
393.0, 0.3407, 45.64
394.0, 0.3367, 46.06
395.0, 0.3328, 46.48
396.0, 0.3287, 46.91
397.0, 0.3248, 47.33
398.0, 0.3215, 47.69
399.0, 0.3182, 48.07
400.0, 0.3150, 48.42
401.0, 0.3115, 48.81
402.0, 0.3076, 49.25
403.0, 0.3040, 49.66
404.0, 0.3003, 50.08
405.0, 0.2969, 50.48
406.0, 0.2935, 50.87
407.0, 0.2900, 51.29
408.0, 0.2866, 51.69
409.0, 0.2835, 52.06
410.0, 0.2808, 52.38
411.0, 0.2784, 52.67
412.0, 0.2756, 53.02
413.0, 0.2727, 53.37
414.0, 0.2696, 53.76
415.0, 0.2667, 54.11
416.0, 0.2639, 54.47
417.0, 0.2610, 54.83
418.0, 0.2585, 55.14
419.0, 0.2558, 55.49
420.0, 0.2531, 55.83
421.0, 0.2506, 56.16
422.0, 0.2482, 56.46
423.0, 0.2462, 56.73
424.0, 0.2439, 57.03
425.0, 0.2418, 57.31
426.0, 0.2394, 57.63
427.0, 0.2369, 57.95
428.0, 0.2347, 58.25
429.0, 0.2324, 58.56
430.0, 0.2303, 58.85
431.0, 0.2280, 59.16
432.0, 0.2258, 59.46
433.0, 0.2237, 59.74
434.0, 0.2217, 60.02
435.0, 0.2198, 60.29
436.0, 0.2180, 60.54
437.0, 0.2160, 60.81
438.0, 0.2139, 61.10
439.0, 0.2119, 61.40
440.0, 0.2098, 61.69
441.0, 0.2078, 61.98
442.0, 0.2058, 62.26
443.0, 0.2038, 62.55
444.0, 0.2017, 62.84
445.0, 0.1996, 63.15
446.0, 0.1978, 63.42
447.0, 0.1962, 63.65
448.0, 0.1946, 63.88
449.0, 0.1930, 64.13
450.0, 0.1921, 64.26
